,Razão Social,Nome de Pregão,Segmento,Código,Categoria
336,H WORLD GROUP LIMITED,H WORLD GRP,BDR / CDADRN,H1TH,
337,H&R BLOCK INC,HER BLOCK IN,BDR / CDADRN,H1RB,
338,HALLIBURTON COMPANY,HALLIBURTON,BDR / CDADRN,HALI,
339,HANESBRANDS INC,HANESBRANDS,BDR / CDADRN,H1BI,
340,HANOVER INSURANCE GROUP INC,HANOVER INSU,BDR / CDADRN,THGI,
341,HARLEY-DAVIDSON INC,HARLEY-DAVID,BDR / CDADRN,H1OG,
342,HARTFORD FINANCIAL SERVICES GROUP INC,HARTFORD FIN,BDR / CDADRN,H1IG,
343,HASBRO INC,HASBRO INC,BDR / CDADRN,H1AS,
344,HCA HEALTHCARE INC,HCA HEALTHCA,BDR / CDADRN,H1CA,
345,HDFC BANK LTD,HDFC BANK LT,BDR / CDADRN,H1DB,
346,HEALTHCARE REALTY TRUST INCORPORATED,HEALTH REALT,BDR / CDADRN,H2TA,
347,HEALTHPEAK PROPERTIES INC,HEALTHPEAK P,BDR / CDADRN,P1EA,
348,HEICO CORPORATION,HEICO CORP,BDR / CDADRN,H1EI,
349,HEINEKEN,HEINEKEN,BDR / CDADRN,HEIA,
350,HEINEKEN HOLDING NV,HEINEKEN HO,BDR / CDADRN,HEIO,
351,HENRY SCHEIN INC,HENRY SCHEIN,BDR / CDADRN,H1SI,
352,HESS CORP,HESS CORP,BDR / CDADRN,H1ES,
353,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACK,BDR / CDADRN,H1PE,
354,HEWLETT-PACKARD COMPANY,HP COMPANY,BDR / CDADRN,HPQB,
355,HF SINCLAIR CORPORATION,HF SINCLAIR,BDR / CDADRN,H1FC,
356,HILTON WORLDWIDE HOLDINGS INC,HILTON WORLD,BDR / CDADRN,H1LT,
357,HOLOGIC INC,HOLOGIC INC,BDR / CDADRN,H1OL,
358,HONDA MOTOR CO LTD,HONDA MO,BDR / CDADRN,HOND,
359,HONEYWELL INTERNATIONAL INC.,HONEYWELL,BDR / CDADRN,HONB,
360,HORMEL FOODS CORP,HORMEL FOODS,BDR / CDADRN,H1RL,
361,HOST HOTELS & RESORTS INC,HOST HOTELS,BDR / CDADRN,H1ST,
362,HOWMET AEROSPACE INC.,HOWMET AERO,BDR / CDADRN,ARNC,
363,HSBC HOLDINGS PLC,HSBC HOLDING,BDR / CDADRN,H1SB,
364,HUBSPOT INC,HUBSPOT INC,BDR / CDADRN,H2UB,
365,HUMANA INC,HUMANA INC,BDR / CDADRN,H1UM,
366,HUNTINGTON BANCSHARES INC,HUNTINGTON B,BDR / CDADRN,H1BA,
367,HUNTINGTON INGALLS INDUSTRIES INC,HUNTINGTON I,BDR / CDADRN,H1II,
368,IAC INTERACTIVECORPORATION,IAC INTERACT,BDR / CDADRN,I1AC,
369,ICICI BANK LTD,ICICI BANK L,BDR / CDADRN,I1BN,
370,ICU MEDICAL INC,ICU MEDICAL,BDR / CDADRN,I2CM,
371,IDEX CORPORATION,IDEX CORP,BDR / CDADRN,I1EX,
372,IDEXX LABORATORIES INC,IDEXX LABORA,BDR / CDADRN,I1DX,
373,ILLINOIS TOOL WORKS INC,ILLINOIS TOO,BDR / CDADRN,I1TW,
374,ILLUMINA INC,ILLUMINA INC,BDR / CDADRN,I1LM,
375,INARI MEDICAL INC,INARI MEDICA,BDR / CDADRN,N2AR,
376,INCYTE CORP,INCYTE CORP,BDR / CDADRN,I1NC,
377,INDIE SEMICONDUCTOR INC,INDIE SEMICO,BDR / CDADRN,I2ND,
378,INFOSYS LTD,INFOSYS LTD,BDR / CDADRN,I1FO,
379,ING GROEP NV,ING GROEP,BDR / CDADRN,INGG,
380,INGERSOLL RAND INC,INGERSOLL RD,BDR / CDADRN,I2RS,
381,INGREDION INCORPORATED,INGREDION IN,BDR / CDADRN,I2NG,
382,INSULET CORP,INSULET CORP,BDR / CDADRN,P2OD,
383,INTEL CORPORATION,INTEL,BDR / CDADRN,ITLC,
384,INTERCONTINENTAL EXCHANGE INC,INTERCONTINE,BDR / CDADRN,I1CE,
385,INTERCONTINENTAL HOTELS GROUP PLC,INT EXCHANGE,BDR / CDADRN,I1HG,
386,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,BDR / CDADRN,IBMB,
387,INTERNATIONAL FLAVORS & FRAGRANCES INC,FLAVOR FLAGR,BDR / CDADRN,I1FF,
388,INTERNATIONAL PAPER CO,INTERNATIONA,BDR / CDADRN,I1PC,
389,INTERPUBLIC GROUP OF COS INC,INTERPUBLIC,BDR / CDADRN,I1PH,
390,INTRA-CELLULAR THERAPIES INC,INTRA CELL,BDR / CDADRN,I2TC,
391,INTUIT INC,INTUIT INC,BDR / CDADRN,INTU,
392,INTUITIVE SURGICAL INC,INTUITIVE SU,BDR / CDADRN,I1SR,
393,INVESCO LTD,INVESCO LTD,BDR / CDADRN,I1VZ,
394,INVITATION HOMES INC,INVITATIONHO,BDR / CDADRN,I2NV,
395,IPG PHOTONICS CORP,IPG PHOTONIC,BDR / CDADRN,I1PG,
396,IQIYI INC,IQIYI INC,BDR / CDADRN,I1QY,
397,IQVIA HOLDINGS INC,IQVIA HOLDIN,BDR / CDADRN,I1QV,
398,IRON MOUNTAIN INC,IRON MOUNTAI,BDR / CDADRN,I1RM,
399,ITRON INC,ITRON INC,BDR / CDADRN,I2TR,
400,JABIL INC,JABIL INC,BDR / CDADRN,J2BL,
401,JACK HENRY & ASSOCIATES INC,JACK HENRY,BDR / CDADRN,J1KH,
402,JACOBS SOLUTIONS INC.,JACOBS SOLUT,BDR / CDADRN,J1EG,
403,JAZZ PHARMACEUTICALS PLC,JAZZ PHARMAC,BDR / CDADRN,J2AZ,
404,JB HUNT TRANSPORT SERVICES INC,JB HUNT TRAN,BDR / CDADRN,J1BH,
405,JD.COM INC,JD COM,BDR / CDADRN,JDCO,
406,JEFFERIES FINANCIAL GROUP INC,JEFFERIES FI,BDR / CDADRN,J1EF,
407,JOHN WILEY & SONS INC,JOHN WILEY S,BDR / CDADRN,J2WA,
408,JOHNSON & JOHNSON,JOHNSON,BDR / CDADRN,JNJB,
409,JOHNSON CONTROLS INTERNATIONAL PLC,JOHNSON CONT,BDR / CDADRN,J1CI,
410,JPMORGAN CHASE & CO.,JPMORGAN,BDR / CDADRN,JPMC,
411,JUNIPER NETWORKS INC,JUNIPER NETW,BDR / CDADRN,J1NP,
412,KB FINANCIAL GROUP INC,KB FINANCIAL,BDR / CDADRN,K1BF,
413,KELLANOVA,KELLANOVA,BDR / CDADRN,K1EL,
414,KEMPER CORP,KEMPER CORP,BDR / CDADRN,KMPR,
415,KEYCORP,KEYCORP,BDR / CDADRN,K1EY,
416,KEYSIGHT TECHNOLOGIES INC,KEYSIGHT TEC,BDR / CDADRN,K1SG,
417,KILROY REALTY CORP,KILROY REALT,BDR / CDADRN,K2RC,
418,KIMBERLY-CLARK CORP,KIMBERLY CL,BDR / CDADRN,KMBB,
419,KIMCO REALTY CORPORATION,KIMCO REALTY,BDR / CDADRN,K1IM,
420,KINDER MORGAN INC,KINDER MORGA,BDR / CDADRN,KMIC,
421,KINGSOFT CLOUD HOLDINGS LTD,KINGSOFT CHL,BDR / CDADRN,K2CG,
422,KLA CORP,KLA CORP,BDR / CDADRN,K1LA,
423,KOHLS CORP,KOHLS CORP,BDR / CDADRN,K1SS,
424,KONINKLIJKE PHILIPS NV,KOPHILIPS,BDR / CDADRN,PHGN,
425,KROGER CO,KROGER CO,BDR / CDADRN,K1RC,
426,KT CORP,KT CORP,BDR / CDADRN,K1TC,
427,L3HARRIS TECHNOLOGIES INC,L3HARRIS TEC,BDR / CDADRN,L1HX,
428,LABORATORY CORP OF AMERICA HOLDINGS,LABORATORY C,BDR / CDADRN,L1CA,
429,LAM RESEARCH CORP,LAM RESEARCH,BDR / CDADRN,L1RC,
430,LAMB WESTON HOLDINGS INC,LAMB WESTON,BDR / CDADRN,L1WH,
431,LAS VEGAS SANDS CORPORATION,LAS VEGAS SA,BDR / CDADRN,L1VS,
432,LATTICE SEMICONDUCTOR CORP,LATTICE SEMI,BDR / CDADRN,L2SC,
433,LEGGETT PLATT INC,LEGGETT PL,BDR / CDADRN,L1EG,
434,LEIDOS HOLDINGS INC,LEIDOS HOLDI,BDR / CDADRN,L1DO,
435,LENNAR CORP,LENNAR CORP,BDR / CDADRN,L1EN,
436,LIBERTY BROADBAND CORP,LIBERTY BROA,BDR / CDADRN,LBRD,
437,LINCOLN NATIONAL CORP,LINCOLN NATI,BDR / CDADRN,L1NC,
438,LIVANOVA PLC,LIVANOVA PLC,BDR / CDADRN,L2IV,
439,LIVE NATION ENTERTAINMENT INC,LIVE NATION,BDR / CDADRN,L1YV,
440,LKQ CORP,LKQ CORP,BDR / CDADRN,L1KQ,
441,LLOYDS BANKING GROUP PLC,LLOYDS BANKI,BDR / CDADRN,L1YG,
442,LOCKHEED MARTIN CORPORATION,LOCKHEED,BDR / CDADRN,LMTB,
443,LOEWS CORP,LOEWS CORP,BDR / CDADRN,L1OE,
444,LONDON STOCK EXCHANGE GROUP,LONDON STOCK,BDR / CDADRN,LSEG,
445,LOWES COMPANIES INC,LOWES COMPA,BDR / CDADRN,LOWC,
446,LPL FINANCIAL HOLDINGS INC,LPL FINCL HD,BDR / CDADRN,L2PL,
447,LULULEMON ATHLETICA INC,LULULEMON AT,BDR / CDADRN,L1UL,
448,LUMEN TECHNOLOGIES. INC,LUMEN TECH,BDR / CDADRN,L1MN,
449,LUMINAR TECHNOLOGIES INC,LUMINAR TECH,BDR / CDADRN,L2AZ,
450,LYONDELLBASELL INDUSTRIES NV,LYONDELLBASE,BDR / CDADRN,L1YB,
451,M&T BANK CORP,MT BANK COR,BDR / CDADRN,M1TB,
452,MACYS INC.,MACY S,BDR / CDADRN,MACY,
453,MARATHON OIL CORP,MARATHON OIL,BDR / CDADRN,M1RO,
454,MARATHON PETROLEUM CORP,MARATHON PET,BDR / CDADRN,M1PC,
455,MARKEL GROUP INC,MARKELGROUP,BDR / CDADRN,MKLC,
456,MARKETAXESS HOLDINGS INC,MARKETAXESS,BDR / CDADRN,M1KT,
457,MARRIOTT INTERNATIONAL INC,MARRIOTT INT,BDR / CDADRN,M1TT,
458,MARSH & MCLENNAN COS INC,MARSH E MCLE,BDR / CDADRN,M1MC,
459,MARTIN MARIETTA MATERIALS INC,MARTIN MARIE,BDR / CDADRN,M1LM,
460,MARVELL TECHNOLOGY INC,MARVELL TEC,BDR / CDADRN,M2RV,
461,MASCO CORP,MASCO CORP,BDR / CDADRN,M1AS,
462,MASIMO CORP,MASIMO CORP,BDR / CDADRN,M2AS,
463,MASTERCARD INCORPORATED,MASTERCARD,BDR / CDADRN,MSCD,
464,MATCH GROUP INC,MATCH GROUP,BDR / CDADRN,M1TC,
465,MCCORMICK & CO INC,MCCORMICK,BDR / CDADRN,M1KC,
466,MCDONALDS CORP.,MCDONALDS,BDR / CDADRN,MCDC,
467,MCKESSON CORP,MCKESSON COR,BDR / CDADRN,M1CK,
468,MEDICAL PROPERTIES TRUST INC,MEDICAL P TR,BDR / CDADRN,M2PW,
469,MEDTRONIC PUBLIC LIMITED COMPANY,MEDTRONIC,BDR / CDADRN,MDTC,
470,MELCO RESORTS & ENTERTAINMENT LTD,MELCO RESORT,BDR / CDADRN,M1LC,
471,MERCADOLIBRE INC,MERCADOLIBRE,BDR / CDADRN,MELI,
472,MERCK & CO.. INC.,MERCK,BDR / CDADRN,MRCK,
473,MERIT MEDICAL SYSTEMS INC,MERIT MEDICA,BDR / CDADRN,M2MS,
474,META PLATFORMS. INC.,META PLAT,BDR / CDADRN,M1TA,
475,METLIFE INC,METLIFE INC,BDR / CDADRN,METB,
476,METTLER-TOLEDO INTERNATIONAL INC,METTLER-TOLE,BDR / CDADRN,M1TD,
477,MGM RESORTS INTERNATIONAL,MGM RESORTS,BDR / CDADRN,M1GM,
478,MICROCHIP TECHNOLOGY INC,MICROCHIP TE,BDR / CDADRN,M1CH,
479,MICRON TECHNOLOGY INC,MICRON TECHN,BDR / CDADRN,MUTC,
480,MICROSOFT CORPORATION,MICROSOFT,BDR / CDADRN,MSFT,
481,MICROSTRATEGY INC,MICROSTRATEG,BDR / CDADRN,M2ST,
482,MID-AMERICA APARTMENT COMMUNITIES INC,MID-AMERICA,BDR / CDADRN,M1AA,
483,MIRATI THERAPEUTICS INC,MIRATI THERA,BDR / CDADRN,M2RT,
484,MITSUBISHI UFJ FINANCIAL GROUP INC,MITSUBISHI U,BDR / CDADRN,M1UF,
485,MKS INSTRUMENTS INC,MKS INSTRUME,BDR / CDADRN,M2KS,
486,MOBILE TELESYSTEMS PUBLIC JOINT STOCK CO.,MOBILE JOIN,BDR / CDADRN,M1BT,
487,MODERNA INC,MODERNA INC,BDR / CDADRN,M1RN,
488,MOHAWK INDUSTRIES INC,MOHAWK INDUS,BDR / CDADRN,M1HK,
489,MOLSON COORS BREWING CO,MOLSON COORS,BDR / CDADRN,M1CB,
490,MONDELEZ INTERNATIONAL. INC,MONDELEZ INT,BDR / CDADRN,MDLZ,
491,MONGODB INC,MONGODB INC,BDR / CDADRN,M1DB,
492,MONOLITHIC POWER SYSTEMS INC,MONOLI POWER,BDR / CDADRN,M2PR,
493,MONSTER BEVERAGE CORP,MONSTER BEVE,BDR / CDADRN,M1NS,
494,MOODYS CORP,MOODYS CORP,BDR / CDADRN,MCOR,
495,MORGAN STANLEY,MORGAN STAN,BDR / CDADRN,MSBR,
496,MOTOROLA SOLUTIONS INC,MOTOROLA SOL,BDR / CDADRN,M1SI,
497,MP MATERIALS CORP,MP MATERIALS,BDR / CDADRN,M2PM,
498,MSCI INC,MSCI INC,BDR / CDADRN,M1SC,
499,NASDAQ INC,NASDAQ INC,BDR / CDADRN,N1DA,
500,NATIONAL GRID PLC,NATIONAL GRI,BDR / CDADRN,N1GG,
501,NATIONAL VISION HOLDINGS INC,NATIONAL VIS,BDR / CDADRN,E2YE,
502,NATWEST GROUP PLC,NATWEST GROU,BDR / CDADRN,N1WG,
503,NEOGEN CORP,NEOGEN CORP,BDR / CDADRN,N2EO,
504,NETAPP INC,NETAPP INC,BDR / CDADRN,N1TA,
505,NETEASE INC,NETEASE,BDR / CDADRN,NETE,
506,NETFLIX. INC.,NETFLIX,BDR / CDADRN,NFLX,
507,NEUROCRINE BIOSCIENCES INC,NEUROCRINE B,BDR / CDADRN,N1BI,
508,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC,NEW ORIENTAL,BDR / CDADRN,E1DU,
509,NEWELL BRANDS INC,NEWELL BRAND,BDR / CDADRN,N1WL,
510,NEWMONT CORP,NEWMONT GOLD,BDR / CDADRN,N1EM,
511,NEWS CORP,NEWS CORP,BDR / CDADRN,N1WS,
512,NEXTERA ENERGY INC,NEXTERA ENER,BDR / CDADRN,NEXT,
513,NICE LTD,NICE LTD,BDR / CDADRN,N1IC,
514,NIKE INC,NIKE,BDR / CDADRN,NIKE,
515,NISOURCE INC,NISOURCE INC,BDR / CDADRN,N1IS,
516,NOKIA CORPORATION,NOKIA CORP,BDR / CDADRN,NOKI,
517,NOMURA HOLDINGS INC,NOMURA HO,BDR / CDADRN,NMRH,
518,NORDSTROM INC,NORDSTROM IN,BDR / CDADRN,J1WN,
519,NORFOLK SOUTHERN CORP,NORFOLK SOUT,BDR / CDADRN,N1SC,
520,NORTHERN TRUST CORP,NORTHERN TRU,BDR / CDADRN,N1TR,
521,NORTHROP GRUMMAN CORP,NORTHROP GRU,BDR / CDADRN,NOCG,
522,NORWEGIAN CRUISE LINE HOLDINGS LTD,NORWEGIAN CR,BDR / CDADRN,N1CL,
523,NOV INC,NOV INC,BDR / CDADRN,N1OV,
524,NOVARTIS AG,NOVARTIS AG,BDR / CDADRN,N1VS,
525,NOVO NORDISK A/S,NOVO NORDISK,BDR / CDADRN,N1VO,
526,NOVOCURE LTD,NOVOCURE,BDR / CDADRN,N2VC,
527,NRG ENERGY INC,NRG ENERGY I,BDR / CDADRN,N1RG,
528,NU HOLDINGS LTD.,NU HOLDINGS,BDR / CDADRN,ROXO,
529,NUCOR CORP,NUCOR CORP,BDR / CDADRN,N1UE,
530,NUTANIX INC,NUTANIX,BDR / CDADRN,N2TN,
531,NVIDIA CORP,NVIDIA CORP,BDR / CDADRN,NVDC,
532,NVR INC,NVR INC,BDR / CDADRN,N1VR,
533,NXP SEMICONDUCTORS NV,NXP SEMICOND,BDR / CDADRN,N1XP,
534,OCCIDENTAL PETROLEUM CORP,OCCIDENT PTR,BDR / CDADRN,OXYP,
535,OKTA INC,OKTA INC,BDR / CDADRN,O1KT,
536,OLD DOMINION FREIGHT LINE INC,OLD DOMINION,BDR / CDADRN,O1DF,
537,OMEGA HEALTHCARE INVESTORS INC,OMEGA HEALTH,BDR / CDADRN,O2HI,
538,OMNICOM GROUP INC,OMNICOM GROU,BDR / CDADRN,O1MC,
539,ON SEMICONDUCTOR CORP,ON SEMICONDU,BDR / CDADRN,O2NS,
540,ONEOK INC,ONEOK INC,BDR / CDADRN,O1KE,
541,OPTION CARE HEALTH INC,OPTION CARE,BDR / CDADRN,O2PC,
542,ORACLE CORPORATION,ORACLE,BDR / CDADRN,ORCL,
543,OREILLY AUTOMOTIVE INC,OREILLY AUT,BDR / CDADRN,ORLY,
544,ORIX CORP,ORIX CORP,BDR / CDADRN,I1XC,
545,OTIS WORLDWIDE CORPORATION,OTIS WORLDWI,BDR / CDADRN,O1TI,
546,PACCAR INC,PACCAR INC,BDR / CDADRN,P1AC,
547,PACKAGING CORP OF AMERICA,PACKAGING CO,BDR / CDADRN,P1KG,
548,PAGSEGURO DIGITAL LTD,PAGSEGURO,BDR / CDADRN,PAGS,
549,PALANTIR TECHNOLOGIES INC,PALANTIRTECH,BDR / CDADRN,P2LT,
550,PALO ALTO NETWORKS INC,PALOALTO NET,BDR / CDADRN,P2AN,
551,PARAMOUNT GLOBAL,PARAMOUNT GL,BDR / CDADRN,C1BS,
552,PARKER-HANNIFIN CORP,PARKER-HANNI,BDR / CDADRN,P1HC,
553,PATRIA INVESTMENTS LTD,PATRIA INVST,BDR / CDADRN,P2AX,
554,PAYCHEX INC,PAYCHEX INC,BDR / CDADRN,P1AY,
555,PAYCOM SOFTWARE INC,PAYCOM SOFTW,BDR / CDADRN,P1YC,
556,PAYLOCITY HOLDING CORP,PAYLOCITY,BDR / CDADRN,P2CY,
557,PAYPAL HOLDINGS INC,PAYPAL HOLD,BDR / CDADRN,PYPL,
558,PDD HOLDINGS INC.,PDD HOLDING,BDR / CDADRN,P1DD,
559,PEGASYSTEMS INC,PEGASYSTEMS,BDR / CDADRN,P2EG,
560,PENN ENTERTAINMENT INC,PENN NATIONL,BDR / CDADRN,P2EN,
561,PENTAIR PLC,PENTAIR PLC,BDR / CDADRN,P1NR,
562,PENUMBRA INC,PENUMBRA,BDR / CDADRN,P2NB,
563,PEPSICO. INC.,PEPSICO INC,BDR / CDADRN,PEPB,
564,PERRIGO CO PLC,PERRIGO CO P,BDR / CDADRN,P1RG,
565,PFIZER INC.,PFIZER,BDR / CDADRN,PFIZ,
566,PHILIP MORRIS INTERNATIONAL INC,PHILIP MORRI,BDR / CDADRN,PHMO,
567,PHILLIPS 66,PHILLIPS 66,BDR / CDADRN,P1SX,
568,PINNACLE WEST CAPITAL CORP,PINNACLE WES,BDR / CDADRN,P1NW,
569,PINTEREST INC,PINTERESTINC,BDR / CDADRN,P2IN,
570,PIONEER NATURAL RESOURCES CO,PIONEER NATU,BDR / CDADRN,P1IO,
571,PLANET FITNESS INC,PLANETFITNES,BDR / CDADRN,P2LN,
572,PNC FINANCIAL SERVICES GROUP INC,PNCFNANCIAL,BDR / CDADRN,PNCS,
573,POSCO HOLDINGS INC.,POSCO HOLD,BDR / CDADRN,P1KX,
574,POST HOLDINGS INC,POST HOLDING,BDR / CDADRN,P2OS,
575,POWERSCHOOL HOLDINGS INC,POWERSCHOOL,BDR / CDADRN,P2WS,
576,PPG INDUSTRIES INC,PPG INDUSTRI,BDR / CDADRN,P1PG,
577,PPL CORP,PPL CORP,BDR / CDADRN,P1PL,
578,PRESTIGE CONSUMER HEALTHCARE INC,PRESTIGE CON,BDR / CDADRN,P2BH,
579,PRINCIPAL FINANCIAL GROUP INC,PRINCIPAL FI,BDR / CDADRN,P1FG,
580,PROCORE TECHNOLOGIES INC,PROCORE TECH,BDR / CDADRN,P2CO,
581,PROCTER & GAMBLE COMPANY,PG,BDR / CDADRN,PGCO,
582,PROLOGIS INC,PROLOGIS INC,BDR / CDADRN,P1LD,
583,PRUDENTIAL FINANCIAL INC,PRUDENTIAL F,BDR / CDADRN,P1DT,
584,PRUDENTIAL PLC,PRUDENTIAL P,BDR / CDADRN,P1UK,
585,PT TELEKOMUNIKASI INDONESIA PERSERO TBK,PT TELEKOMUN,BDR / CDADRN,T1LK,
586,PTC INC,PTC INC,BDR / CDADRN,P2TC,
587,PUBLIC SERVICE ENTERPRISE GROUP INC,PUBLIC SERVI,BDR / CDADRN,P1EG,
588,PUBLIC STORAGE,PUBLIC STORA,BDR / CDADRN,P1SA,
589,PULTEGROUP INC,PULTEGROUP I,BDR / CDADRN,P1HM,
590,PURE STORAGE INC,PURE STORAGE,BDR / CDADRN,P2ST,
591,PVH CORP,PVH CORP,BDR / CDADRN,P1VH,
592,QORVO INC,QORVO INC,BDR / CDADRN,Q1RV,
593,QUALCOMM INC.,QUALCOMM,BDR / CDADRN,QCOM,
594,QUANTA SERVICES INC,QUANTA SERVI,BDR / CDADRN,Q1UA,
595,QUANTUMSCAPE CORP,QUANTUMSCAPE,BDR / CDADRN,Q2SC,
596,QUEST DIAGNOSTICS INC,QUEST DIAGNO,BDR / CDADRN,Q1UE,
597,RALPH LAUREN CORP,RALPH LAUREN,BDR / CDADRN,R1LC,
598,RAPID7 INC,RAPID7 INC,BDR / CDADRN,R2PD,
599,RAYMOND JAMES FINANCIAL INC,RAYMOND JAME,BDR / CDADRN,R1JF,
600,REALTY INCOME CORP,REALTY INCOM,BDR / CDADRN,R1IN,
601,REDFIN CORPORATION,REDFIN CORP,BDR / CDADRN,R2DF,
602,REGAL REXNORD CORP,REGALREXNORD,BDR / CDADRN,R2RX,
603,REGENCY CENTERS CORP,REGENCY CENT,BDR / CDADRN,R1EG,
604,REGENERON PHARMACEUTICALS INC,REGENERON PH,BDR / CDADRN,REGN,
605,REGIONS FINANCIAL CORP,REGIONS FINA,BDR / CDADRN,R1FC,
606,RELX PLC,RELX PLC,BDR / CDADRN,R1EL,
607,REPLIGEN CORP,REPLIGEN,BDR / CDADRN,R2GE,
608,REPUBLIC SERVICES INC,REPUBLIC SER,BDR / CDADRN,R1SG,
609,RESMED INC,RESMED INC,BDR / CDADRN,R1MD,
610,REVVITY. INC.,REVVITY INC,BDR / CDADRN,R1VT,
611,RH,RH,BDR / CDADRN,R2HH,
612,RINGCENTRAL INC,RINGCENTRAL,BDR / CDADRN,R2NG,
613,RIO TINTO PLC,RIO TINTO,BDR / CDADRN,RIOT,
614,ROBERT HALF INC.,ROBERT HALF,BDR / CDADRN,R1HI,
615,ROBLOX CORPORATION,ROBLOX CORP,BDR / CDADRN,R2BL,
616,ROCKWELL AUTOMATION INC,ROCKWELL AUT,BDR / CDADRN,R1OK,
617,ROKU INC,ROKU INC,BDR / CDADRN,R1KU,
618,ROLLINS INC,ROLLINS INC,BDR / CDADRN,R1OL,
619,ROPER TECHNOLOGIES INC,ROPER TECHNO,BDR / CDADRN,R1OP,
620,ROSS STORES. INC.,ROSS STORES,BDR / CDADRN,ROST,
621,ROYAL BANK OF CANADA,BANK CANADA,BDR / CDADRN,RYBD,
622,ROYAL CARIBBEAN GROUP,ROYAL CARIBB,BDR / CDADRN,R1CL,
623,RTX CORPORATION,RAYTHEONTECH,BDR / CDADRN,RYTT,
624,RYANAIR HOLDINGS PLC,RYANAIR HOLD,BDR / CDADRN,R1YA,
625,S&P GLOBAL INC,SP GLOBAL,BDR / CDADRN,SPGI,
626,SALESFORCE. INC.,SALESFOR INC,BDR / CDADRN,SSFO,
627,SANDOZ GROUP AG FAKE,SANDOZ,BDR / CDADRN,SZ99,
628,SAP SE,SAP SE,BDR / CDADRN,SAPP,
629,SAREPTA THERAPEUTICS INC,SAREPTA THER,BDR / CDADRN,S1RP,
630,SBA COMMUNICATIONS CORP,SBA COMMUNIC,BDR / CDADRN,S1BA,
631,SCHLUMBERGER LIMITED,SCHLUMBERGER,BDR / CDADRN,SLBG,
632,SCOTIABANK,SCOTIABANK,BDR / CDADRN,BNSB,
633,SEA LTD,SEA LTD,BDR / CDADRN,S2EA,
634,SEAGATE TECHNOLOGY HOLDINGS PLC,SEAGATE HOLD,BDR / CDADRN,S1TX,
635,SEALED AIR CORP,SEALED AIR C,BDR / CDADRN,S1EA,
636,SEI INVESTMENTS CO,SEI INVEST,BDR / CDADRN,S2EI,
637,SEMPRA,SEMPRA,BDR / CDADRN,S1RE,
638,SERVICENOW INC,SERVICENOW,BDR / CDADRN,N1OW,
639,SHOCKWAVE MEDICAL INC,SHOCKWAVE ME,BDR / CDADRN,S2WA,
640,SHOPIFY INC,SHOPIFY INC,BDR / CDADRN,S2HO,
641,SIBANYE STILLWATER LTD,SIBANYE STIL,BDR / CDADRN,S1BS,
642,SIGMA LITHIUM CORP,SIGMA LITHM,BDR / CDADRN,S2GM,
643,SILICON LABORATORIES INC,SILICON LAB,BDR / CDADRN,S2LA,
644,SIMON PROPERTY GROUP INC,SIMON PROP,BDR / CDADRN,SIMN,
645,SIMPLY GOOD FOODS CO/THE,SIMPLY GOOD,BDR / CDADRN,S2MP,
646,SIRIUS XM HOLDINGS INC,SIRIUS XM HD,BDR / CDADRN,SRXM,
647,SIX FLAGS ENTERTAINMENT CORP,SIX FLAGS,BDR / CDADRN,S2IX,
648,SK TELECOM CO LTD,SK TELECOM C,BDR / CDADRN,S1KM,
649,SKYWORKS SOLUTIONS INC,SKYWORKS SOL,BDR / CDADRN,S1SL,
650,SL GREEN REALTY CORP,SL GREEN REA,BDR / CDADRN,S1LG,
651,SMARTSHEET INC,SMARTSHEET,BDR / CDADRN,S2MA,
652,SMITH & NEPHEW PLC,SMITH NEPH,BDR / CDADRN,S1NN,
653,SNAP INC,SNAP INC,BDR / CDADRN,S2NA,
654,SNAP-ON INC,SNAP-ON INC,BDR / CDADRN,S1NA,
655,SNOWFLAKE INC,SNOWFLAKE,BDR / CDADRN,S2NW,
656,SOCIEDAD QUIMICA Y MINERA DE CHILE SA,SOCIEDQM CHI,BDR / CDADRN,S2CH,
657,SOLAREDGE TECHNOLOGIES INC,SOLAR TECH,BDR / CDADRN,S2ED,
658,SONY GROUP CORPORATION,SONY GROUP,BDR / CDADRN,SNEC,
659,SOUTHWEST AIRLINES CO,SOUTHWEST AI,BDR / CDADRN,S1OU,
660,SPLUNK INC,SPLUNK INC,BDR / CDADRN,S1PL,
661,SPOTIFY TECHNOLOGY SA,SPOTIFY TECH,BDR / CDADRN,S1PO,
662,SPROUTS FARMERS MARKET INC,SPROUTS FARM,BDR / CDADRN,S2FM,
663,SQUARESPACE INC,SQUARESPACE,BDR / CDADRN,S2QS,
664,SS&C TECHNOLOGIES HOLDINGS INC,SSC TECHNOL,BDR / CDADRN,S1SN,
665,STAG INDUSTRIAL INC,STAG INDUSTR,BDR / CDADRN,S2TA,
666,STANDARD CHARTERED,STANCHART,BDR / CDADRN,STCH,
667,STANLEY BLACK & DECKER INC,STANLEY BLAC,BDR / CDADRN,S1WK,
668,STARBUCKS CORPORATION,STARBUCKS,BDR / CDADRN,SBUB,
669,STARWOOD PROPERTY TRUST INC,STARWOOD PRO,BDR / CDADRN,S2TW,
670,STATE STREET CORP,STATE STREET,BDR / CDADRN,S1TT,
