,Razão Social,Nome de Pregão,Segmento,Código,Categoria
77,ATLASSIAN CORPORATION PLC,ATLASSIAN CO,BDR / CDADRN,T1AM,
78,ATMOS ENERGY CORP,ATMOS ENERGY,BDR / CDADRN,A1TM,
79,AUTODESK INC,AUTODESK INC,BDR / CDADRN,A1UT,
80,AUTOHOME INC,AUTOHOME INC,BDR / CDADRN,A1TH,
81,AUTOMATIC DATA PROCESSING INC,AUTOMATIC DT,BDR / CDADRN,ADPR,
82,AUTOZONE INC,AUTOZONE INC,BDR / CDADRN,AZOI,
83,AVALONBAY COMMUNITIES INC,AVALONBAY CO,BDR / CDADRN,A1VB,
84,AVERY DENNISON CORP,AVERY DENNIS,BDR / CDADRN,A1VY,
85,AXON ENTERPRISE INC,AXON ENTERPR,BDR / CDADRN,A2XO,
86,AZENTA INC,AZENTA INC,BDR / CDADRN,A2ZT,
87,BAIDU INC,BAIDU INC,BDR / CDADRN,BIDU,
88,BAKER HUGHES CO,BAKER HUGHES,BDR / CDADRN,B1KR,
89,BALCHEM CORP,BALCHEM CORP,BDR / CDADRN,B2CP,
90,BALL CORP,BALL CORP,BDR / CDADRN,B1LL,
91,BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAOVIZ,BDR / CDADRN,BILB,
92,BANCO SANTANDER CHILE,BANCO SANTAN,BDR / CDADRN,B1SA,
93,BANCO SANTANDER SA,SANTANDER,BDR / CDADRN,BCSA,
94,BANCOLOMBIA SA,BANCOLOMBIA,BDR / CDADRN,C2OL,
95,BANK OF AMERICA CORPORATION,BANK AMERICA,BDR / CDADRN,BOAC,
96,BARCLAYS PLC,BARCLAYS PLC,BDR / CDADRN,B1CS,
97,BARRICK GOLD,BARRICK GOLD,BDR / CDADRN,BARR,
98,BATH & BODY WORKS. INC.,BATHBODY,BDR / CDADRN,B1BW,
99,BAXTER INTERNATIONAL INC,BAXTER INTER,BDR / CDADRN,B1AX,
100,BECTON DICKINSON AND CO,BECTON DICKI,BDR / CDADRN,B1DX,
101,BEIGENE LTD,BEIGENE LTD,BDR / CDADRN,B1GN,
102,BERKSHIRE HATHAWAY INC.,BERKSHIRE,BDR / CDADRN,BERK,
